"","Variables","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"NDWImin","NDWImin",-0.2978554945001,0.252675732741472,0.116191457329227,-0.065638265402976,0.162010820272978,0.0620447347052663,0.0374471251122444,0.0743251877122194,-0.258846420962766,0.17654464357384,-0.0031990833920921,-0.0238826957875337,-0.116295016899455,-0.124840996002659,0.00953424600749408,0.111295569461462,0.0487639895836094,-0.805180574247123,-0.039657032051618,0.000890586627416522
"SWIRaug","SWIRaug",-0.265037720548279,0.209889524893885,0.145779191131114,0.0761816840592295,0.258168231581721,-0.0433361299616882,-0.022683713848586,0.154629093210959,-0.56301517739478,0.185091758186506,-0.310987895347256,-0.0641413535830655,0.102268743822267,-0.0924261694857277,-0.282869663422271,-0.141020804842315,-0.0328954269928929,0.437839376350753,0.043925528206271,-0.0012201133007411
"BulkDens","BulkDens",-0.0937338702814095,0.101268827186831,-0.485267483648339,0.0632393114543317,0.135669488627812,0.233139603450762,-0.0732781479786638,-0.577455580727704,-0.0763730020111835,0.116187032578364,-0.102937013547645,-0.220148426825453,-0.237078484949244,0.425703839769207,-0.10981559094863,-0.035442571008057,0.026944037246431,0.00021494332541086,0.00496608417663943,-9.218377846978e-05
"pH","pH",0.23109863166994,0.0928536493482707,-0.158408330054129,0.408391055997767,-0.102349835628048,0.0249278303215681,0.329112873838543,0.174716571768969,0.0987586513978477,0.564913999719237,0.188558293894781,-0.347569621655788,0.31112893963497,-0.00836537481434968,-0.0251677167154912,-0.0886444808379602,-0.0446293716992165,-0.0577101561386235,0.015245749640838,-0.00013452111008547
"CStock","CStock",0.061231332381174,-0.00519619616011276,0.444843873462946,-0.0843296198850995,-0.433904915220604,-0.0716455516751518,-0.0576646343577935,-0.653767285951092,-0.156674908520374,0.193120204240873,-0.00663667247054278,-0.0562543426514389,0.245590422141898,-0.1699678614351,-0.0521186730137275,0.0815244546241397,0.0580678865011024,-0.00964740503504133,0.000649162506703699,-3.10785608613717e-06
"CDensity","CDensity",0.152893874204261,-0.0842866847283501,0.483652240647755,-0.0368818359265424,-0.000695473115019907,-0.305051487711992,0.0809711672930429,0.131932582729072,-0.0798170029327065,0.130759203375378,0.102664994640868,-0.209152797171985,-0.426063262459451,0.59760686176192,-0.00183268572830448,-0.0246082974274644,0.00124190463709154,0.00829292515266826,-0.0110956695369955,-0.00030088856327841
"Sand","Sand",-0.0591221185252074,-0.349009008222979,-0.211379943275275,-0.432937552348633,-0.0317494046801626,-0.0794727147890769,0.170657157859112,0.0408324605382474,-0.168184673692283,0.219798537525801,0.0641690869123129,0.0231246650176617,0.0403722986357581,-0.0073149854351889,0.00396113968088923,-0.00978349977616664,-0.0123755502828158,0.0116004621855821,0.00196762182710223,0.721892963848037
"Silt","Silt",0.0494735092304334,0.22585081741492,0.264403479426038,0.27512029499595,0.573111313014709,-0.138118251994065,-0.140692783002294,-0.241289580419154,0.282466542568424,-0.0950344108528535,0.139068421367507,0.00859492022450292,0.166595305419152,-0.0187742303151854,0.061456141128645,-0.00808493949720301,0.00889810280403001,0.0107197279176799,0.0105623933067975,0.484673007989723
"Clay","Clay",0.0378494007983216,0.28891949907699,0.0493987234420888,0.363146677632194,-0.515601614173893,0.250618631856249,-0.110914128838677,0.177875346540874,-0.0321357549424195,-0.227573650241898,-0.232170320981505,-0.04233207039563,-0.220830522195537,0.0308210228985026,-0.0667019054056397,0.0241516491439015,0.0129322096070778,-0.0247087561815377,-0.0135471333658745,0.493916562304459
"Permafrost","Permafrost",0.336363025020185,0.0566272766453499,0.0147421458818591,-0.146280803713123,0.136990686233052,0.00704023149920334,0.0262087037113771,-0.0578090673668428,0.0385095289219347,0.138584845105755,-0.446244355702797,-0.285713050795884,-0.329953524430675,-0.374723630390319,0.512270459428137,-0.149328533182734,0.0240537270488218,0.0511328539327372,0.0231932658232036,0.000331125373385824
