"NAME","SOV0NAME","ADM1NAME","LATITUDE","LONGITUDE","POP_MAX"
"Chelyuskin","Russia","Taymyr",77.716973,104.250009,885
"Taksimo","Russia","Buryat",56.331534,114.889979,10359
"Nyukzha","Russia","Amur",56.531212,121.613083,10
"Nerchinsk","Russia","Chita",52.008956,116.548586,15360
"Shalaurova","Russia","Sakha (Yakutia)",73.220374,143.183343,10
"Logashkino","Russia","Sakha (Yakutia)",70.85039,153.900001,0
"Ust Kuyga","Russia","Sakha (Yakutia)",70.017056,135.600033,1517
"Verkhnevilyuysk","Russia","Sakha (Yakutia)",63.4457,120.316728,6341
"Vitim","Russia","Sakha (Yakutia)",59.451499,112.557822,3843
"Olyokminsk","Russia","Sakha (Yakutia)",60.503192,120.392589,10000
"Tunguskhaya","Russia","Sakha (Yakutia)",64.900443,125.250019,10
"Natara","Russia","Sakha (Yakutia)",68.410616,123.9255,10
"Zhilinda","Russia","Sakha (Yakutia)",70.133689,114.000008,10
"Tukchi","Russia","Khabarovsk",57.366975,139.500002,10
"Chegdomyn","Russia","Khabarovsk",51.117796,133.024118,14855
"Siglan","Russia","Maga Buryatdan",59.033721,152.416578,10
"Karamken","Russia","Maga Buryatdan",60.20042,151.166628,10
"Strelka","Russia","Maga Buryatdan",61.866985,152.250179,10
"Severo Kurilsk","Russia","Sakhalin",50.690483,156.085036,2422
"Poronaysk","Russia","Sakhalin",49.241554,143.085002,16677
"Makarov","Russia","Sakhalin",48.633736,142.800007,6663
"Dolinsk","Russia","Sakhalin",47.350429,142.800007,11989
"Kudymkar","Russia","Komi-Permyak",59.016177,54.633037,32423
"Krasnokamsk","Russia","Perm'",58.074736,55.744287,52689
"Chusovoy","Russia","Perm'",58.29343,57.81305,72113
"Gubakha","Russia","Perm'",58.869132,57.588722,31424
"Utkholok","Russia","Kamchatka",57.550401,157.233338,10
"Bol'sheretsk","Russia","Kamchatka",52.438981,156.359386,10
"Qasigiannguit","Denmark","Qaasuitsup Kommunia",68.81927,-51.178519,1341
"Shamattawa","Canada","Manitoba",55.850375,-92.083279,870
"Oxford House","Canada","Manitoba",54.950404,-95.266599,184
"Meadow Lake","Canada","Saskatchewan",54.130118,-108.434736,5882
"Hudson Bay","Canada","Saskatchewan",52.850429,-102.383296,2157
"Fort Chipewyan","Canada","Alberta",58.717099,-111.149996,3222
"Dawson Creek","Canada","British Columbia",55.766969,-120.233266,10802
"Dease Lake","Canada","British Columbia",58.450346,-130.033288,303
"Baker Lake","Canada","Nunavut",64.31699,-96.016656,1584
"Norman Wells","Canada","Northwest Territories",65.283727,-126.849968,1027
"Fort McPherson","Canada","Northwest Territories",67.491525,-134.894981,1069
"Burwash Landing","Canada","Yukon",61.350375,-139.000002,73
"Wawa","Canada","Ontario",48.000415,-84.783337,2174
"Hearst","Canada","Ontario",49.700492,-83.666583,5043
"Marathon","Canada","Ontario",48.750395,-86.366651,4627
"Sioux Lookout","Canada","Ontario",50.262964,-91.916648,4570
"Red Lake","Canada","Ontario",51.033692,-93.833301,1765
"Deer Lake","Canada","Ontario",52.617033,-94.066595,3743
"Cat Lake","Canada","Ontario",51.717036,-91.799989,277
"Cochrane","Canada","Ontario",49.067017,-81.016564,4441
"Nipigon","Canada","Ontario",49.017046,-88.249973,1204
"Chevery","Canada","Québec",50.481323,-59.609783,284
"Kangirsuk","Canada","Québec",60.024823,-69.999097,549
"Matagami","Canada","Québec",49.750386,-77.633282,1966
"Argentia","Canada","Newfoundland and Labrador",47.300432,-53.989997,1063
"St. Anthony","Canada","Newfoundland and Labrador",51.383749,-55.59995,224
"Buchans","Canada","Newfoundland and Labrador",48.817032,-56.866591,685
"Trout River","Canada","Newfoundland and Labrador",49.483658,-58.116644,452
"Churchill Falls","Canada","Newfoundland and Labrador",53.526409,-63.980679,100
"Forteau","Canada","Newfoundland and Labrador",51.450385,-56.949997,448
"Trepassey","Canada","Newfoundland and Labrador",46.736978,-53.363291,398
"Kullorsuaq","Denmark",NA,74.578063,-57.224986,450
"Tasiusaq","Denmark",NA,73.369002,-56.059814,250
"Gambell","United States","Alaska",63.77971,-171.731079,681
"Palmer","United States","Alaska",61.599714,-149.112692,13111
"Höfn","Iceland","Sveitarfélagið Hornafjörður",64.272315,-15.21386,1695
"Mo i Rana","Kingdom of Norway","Nordland",66.31661,14.16667,20409
"Skien","Kingdom of Norway","Telemark",59.19999,9.600024,73330
"Namsos","Kingdom of Norway","Nord-Trøndelag",64.483311,11.500011,9035
"Vadsø","Kingdom of Norway","Finnmark",70.096597,29.765749,5139
"Kolpashevo","Russia","Tomsk",58.300407,82.995389,27876
"Omolon","Russia","Chukchi Autonomous Okrug",65.249982,160.500012,1050
"Pevek","Russia","Chukchi Autonomous Okrug",69.700822,170.313315,4837
"Umba","Russia","Murmansk",66.681394,34.345542,6128
"Kovda","Russia","Murmansk",66.690282,32.870231,20
"Belomorsk","Russia","Karelia",64.52522,34.765826,12165
"Kem","Russia","Karelia",64.953592,34.56837,13829
"Severodvinsk","Russia","Arkhangel'sk",64.570024,39.830013,194292
"Indiga","Russia","Nenets",67.689754,49.016595,10
"Salekhard","Russia","Yamal-Nenets",66.53502,66.60998,38025
"Gyda","Russia","Yamal-Nenets",70.881422,78.466104,10
"Tazovsky","Russia","Yamal-Nenets",67.466669,78.699992,5981
"Novy Urengoy","Russia","Yamal-Nenets",66.083317,76.633245,94212
"Nadym","Russia","Yamal-Nenets",65.52981,72.514788,46339
"Noyabrsk","Russia","Yamal-Nenets",63.166544,75.616511,110572
"Ukhta","Russia","Komi",63.559982,53.689994,102187
"Serov","Russia","Sverdlovsk",59.614977,60.584974,98438
"Igrim","Russia","Khanty-Mansiy",63.193312,64.419417,9545
"Nyagan","Russia","Khanty-Mansiy",62.146528,65.381425,52137
"Nizhenvartovsk","Russia","Khanty-Mansiy",60.934974,76.580018,244937
"Numto","Russia","Khanty-Mansiy",63.66672,71.33331,10
"Tobolsk","Russia","Tyumen'",58.199793,68.264815,113800
"Noginsk","Russia","Evenk",64.483311,91.233335,229731
