"","site","means","Latitude","Longitude","country","State","Population","rank"
"74","Dolinsk",-0.00688940632046979,47.350429,142.800007,"Russia","Sakhalin",11989,74
"75","Srednekolymsk",-0.00686315365657791,67.450003,153.710039,"Russia","Sakha (Yakutia)",3459,75
"76","Boyarka",-0.00685009322749679,70.766984,97.500033,"Russia","Taymyr",35968,76
"77","Megion",-0.0067982449895648,61.060755,76.095345,"Russia","Khanty-Mansiy",48691,77
"78","Eastern Old Black Spruce (EOBS)",-0.00660360977945026,49.6925,-74.342,"Canada",NA,NA,78
"79","Bonanza Creek, 1920 Burn site near Delta Junction",-0.00659826328134462,63.8881,-145.7394,"United States",NA,NA,79
"80","Alert",-0.00652088360803686,82.483323,-62.249984,"Canada","Nunavut",125,80
"81","Svetogorsk",-0.00650701726385754,61.101321,28.917656,"Russia","Leningrad",30115,81
"82","Nogliki",-0.00646214631201148,51.833282,143.166703,"Russia","Sakhalin",10098,82
"83","Zlatoust",-0.00643807168077212,55.17499,59.649992,"Russia","Chelyabinsk",191366,83
"84","Maaninka",-0.0064305791861537,63.1635,27.2342,"Finland",NA,NA,84
"85","Kogalym",-0.00641725566076154,62.044622,74.494099,"Russia","Khanty-Mansiy",58192,85
"86","Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.00633687826733196,55.5375,-112.3343,"Canada",NA,NA,86
"87","Athabasca, poor fen",-0.00633687826733196,55.5375,-112.335,"Canada",NA,NA,87
"88","Khorgo",-0.00624939384389231,73.483304,113.630004,"Russia","Sakha (Yakutia)",10,88
"89","Red Devil",-0.00616270213211768,61.760996,-157.312527,"United States","Alaska",25,89
"90","Rankin Inlet",-0.00612195653695828,62.816668,-92.09532,"Canada","Nunavut",2472,90
"91","Egvekinot",-0.00597910855930347,66.322132,-179.183723,"Russia","Chukchi Autonomous Okrug",2248,91
"92","Verkhoyansk",-0.00594429292110428,67.5447,133.384974,"Russia","Sakha (Yakutia)",1388,92
"93","Manitoba, Northern Old Black Spruce (BOREAS)",-0.0059003935052505,55.8796,-98.4808,"Canada",NA,NA,93
"94","DMI Geophysical Observatory Qaanaaq",-0.00581283956502822,77.466667,-69.216667,"Greenland",NA,NA,94
"95","Kudymkar",-0.00576199739264144,59.016177,54.633037,"Russia","Komi-Permyak",32423,95
"96","Yellowknife",-0.00575857732750633,62.442014,-114.396981,"Canada","Northwest Territories",19234,96
"97","Aldan",-0.00571293864442485,58.602998,125.38939,"Russia","Sakha (Yakutia)",24426,97
"98","Onega",-0.00571125602154474,63.927143,38.077148,"Russia","Arkhangel'sk",22693,98
"99","Volkhov",-0.0057018364308223,59.929093,32.338739,"Russia","Leningrad",45673,99
"100","Kangirsuk",-0.00568886228544929,60.024823,-69.999097,"Canada","Québec",549,100
"101","Nyac",-0.00557471490569861,61.004143,-159.940481,"United States","Alaska",100,101
"102","Numto Park Station",-0.00550297965856642,63.480987,70.717853,"Russia",NA,NA,102
"103","Alberta - Western Peatland - Rich Fen  (Carex)",-0.00548703713950408,54.47,-113.32,"Canada",NA,NA,103
"104","Athabasca, rich fen",-0.00548703713950408,54.47,-113.32,"Canada",NA,NA,104
"105","Uummannaq",-0.00541158755971559,70.675023,-52.122934,"Greenland",NA,1299,105
"106","Inukjuak",-0.00540575162859396,58.470009,-78.135991,"Canada","Québec",1597,106
"107","Brochet",-0.00540161665209375,57.883223,-101.666596,"Canada","Manitoba",278,107
"108","Orotuk Field Station",-0.00539989643656039,62.05,148.65,"Russia",NA,NA,108
"109","Flashline Mars Arctic Research Station",-0.005336664898401,75.430873,-89.823063,"Canada",NA,NA,109
"110","Mogocha",-0.00532712572767984,53.733321,119.766581,"Russia","Chita",12647,110
"111","Allakaket",-0.00528746099945789,66.565483,-152.6455,"United States","Alaska",97,111
"112","Churchill Falls",-0.00525639144590665,53.526409,-63.980679,"Canada","Newfoundland and Labrador",100,112
"113","Matagami",-0.00493166587537783,49.750386,-77.633282,"Canada","Québec",1966,113
"114","ZOTTO forest (old)",-0.00492600744221249,60.8008,89.3508,"Russia",NA,NA,114
"115","Quebec - 1975 Harvested Black Spruce (HBS75)",-0.00492357055600571,49.7598,-74.5711,"Canada",NA,NA,115
"116","Cat Lake",-0.00489674485582499,51.717036,-91.799989,"Canada","Ontario",277,116
"117","Jokioinen agricultural field",-0.00486775217361793,60.8986,23.5135,"Finland",NA,NA,117
"118","Zyryanka",-0.00485908171341045,65.735973,150.890004,"Russia","Sakha (Yakutia)",3627,118
"119","Nadym",-0.00481265501723611,65.52981,72.514788,"Russia","Yamal-Nenets",46339,119
"120","Vanino",-0.00471781159939741,49.087326,140.242489,"Russia","Khabarovsk",18618,120
"121","Taksimo",-0.00461639479236116,56.331534,114.889979,"Russia","Buryat",10359,121
"122","CEN Whapmagoostui-Kuujjuarapik Research Station",-0.00451387951905495,55.266667,-77.75,"Canada",NA,NA,122
"123","Kugluktuk",-0.00449756875599488,67.798663,-115.12535,"Canada","Nunavut",1302,123
"124","Qaanaaq",-0.00426672796206214,77.483473,-69.332239,"Greenland","Qaasuitsup Kommunia",616,124
"125","Asbest",-0.00423848835156598,57.023043,61.458047,"Russia","Sverdlovsk",81248,125
"126","Strelka",-0.00420780350843603,61.866985,152.250179,"Russia","Maga Buryatdan",10,126
"127","Gyda",-0.00419389010978798,70.881422,78.466104,"Russia","Yamal-Nenets",10,127
"128","Kangerlussuaq",-0.00415598332414369,67.014123,-50.709909,"Greenland","Qeqqata Kommunia",556,128
"129","Mukhomornoye",-0.00410467666306552,66.417069,173.333337,"Russia","Chukchi Autonomous Okrug",100,129
"130","Pevek",-0.00408536481051005,69.700822,170.313315,"Russia","Chukchi Autonomous Okrug",4837,130
"131","Starorybnoye",-0.0040435278566507,72.766604,104.800001,"Russia","Taymyr",10,131
"132","Glazov",-0.0039624058809414,58.123208,52.628767,"Russia","Udmurt",100676,132
"133","Khanymey",-0.00396177217700102,63.716667,75.95,"Russia",NA,NA,133
"134","CEN Salluit Research Station",-0.00392158003594261,62.2,-75.633333,"Canada",NA,NA,134
"135","Paamiut",-0.00379276513461388,62.004102,-49.63507,"Greenland","Kommuneqarfik Sermersooq",1862,135
"136","Nikel",-0.00378903578915363,69.412571,30.218817,"Russia","Murmansk",15866,136
"137","Terbyas",-0.0037491788216995,64.376082,120.546895,"Russia","Sakha (Yakutia)",10,137
"138","Qaqortoq",-0.0037439879865159,60.72891,-46.036412,"Greenland","Kommune Kujalleq",3224,138
"139","Salluit",-0.00373426988897111,62.182599,-75.659501,"Canada","Québec",106,139
"140","Nordvik",-0.00368779987898818,74.016502,111.510031,"Russia","Taymyr",0,140
"141","Umiujaq",-0.00365620355044268,56.5586,-76.4822,"Canada",NA,NA,141
"142","Norway House",-0.00361734934652541,53.966588,-97.83329,"Canada","Manitoba",6000,142
"143","Segezha",-0.00360778539366156,63.754776,34.324303,"Russia","Karelia",33354,143
"144","Rylekaerene Zackenberg",-0.00360142356040778,74.4667,-20.5667,"Greenland",NA,NA,144
"145","Ísafjörður",-0.00353905526242881,66.083317,-23.149967,"Iceland","Vestfirðir",2534,145
"146","Hammerfest",-0.00353567516845764,70.66128,23.688001,"Norway","Finnmark",10000,146
"147","Kirovo-Chepetsk",-0.00350963164165514,58.55437,50.044377,"Russia","Kirov",90252,147
"148","Dillingham",-0.00345469583977065,59.05656,-158.480312,"United States","Alaska",2488,148
"149","Norilsk",-0.00344936809551862,69.340017,88.224992,"Russia","Taymyr",165873,149
"150","Zvëzdnyj",-0.00344840020907266,70.956585,-179.589979,"Russia","Chukchi Autonomous Okrug",10,150
"151","Noginsk",-0.00344690298528221,64.483311,91.233335,"Russia","Evenk",229731,151
"152","James Bay Lowlands",-0.0034286717125738,53.6744,-78.1706,"Canada",NA,NA,152
"153","Marathon",-0.00341859327757997,48.750395,-86.366651,"Canada","Ontario",4627,153
"154","Watson Lake",-0.00340709061490553,60.116626,-128.80003,"Canada","Yukon",802,154
"155","Sovetskaya Gavan",-0.0033988357062497,48.969891,140.27489,"Russia","Khabarovsk",29740,155
