"NAME","SOV0NAME","LONGITUDE","LATITUDE","TYPE","ADM1NAME","POP_MAX"
"McGrath","United States",-155.595785,62.956815,"Populated_Place","Alaska",138
"Hughes","United States",-154.254988,66.049184,"Populated_Place","Alaska",78
"Ambler","United States",-157.851409,67.086485,"Populated_Place","Alaska",258
"Wales","United States",-168.087503,65.609599,"Populated_Place","Alaska",99
"Wasilla","United States",-149.439442,61.581731,"Populated_Place","Alaska",8521
"Circle","United States",-144.06052,65.82589,"Populated_Place","Alaska",100
"Tanacross","United States",-143.346403,63.385703,"Populated_Place","Alaska",136
"Wiseman","United States",-150.107489,67.410471,"Populated_Place","Alaska",14
"Sauðárkrókur","Iceland",-19.638993,65.746412,"Populated_Place","Akrahreppur",2682
"Ålesund","Kingdom of Norway",6.388023,62.545419,"Populated_Place","MOre og Romsdal",47772
"Steinkjer","Kingdom of Norway",11.500011,64.01706,"Populated_Place","Nord-Trøndelag",11274
"Asino","Russia",86.162689,56.993122,"Populated_Place","Tomsk",27070
"Strezhevoy","Russia",77.577683,60.733152,"Populated_Place","Tomsk",44784
"Mukhomornoye","Russia",173.333337,66.417069,"Populated_Place","Chukchi Autonomous Okrug",100
"Beringovskiy","Russia",179.306667,63.065465,"Populated_Place","Chukchi Autonomous Okrug",1861
"Bilibino","Russia",166.333299,68.050406,"Populated_Place","Chukchi Autonomous Okrug",5757
"Egvekinot","Russia",-179.183723,66.322132,"Populated_Place","Chukchi Autonomous Okrug",2248
"Nikel","Russia",30.218817,69.412571,"Populated_Place","Murmansk",15866
"Monchegorsk","Russia",32.828735,67.929121,"Populated_Place","Murmansk",49868
"Kirovsk","Russia",33.668735,67.609089,"Populated_Place","Murmansk",29605
"Volkhov","Russia",32.338739,59.929093,"Populated_Place","Leningrad",45673
"Tikhvin","Russia",33.514378,59.644846,"Populated_Place","Leningrad",62075
"Svetogorsk","Russia",28.917656,61.101321,"Populated_Place","Leningrad",30115
"Luga","Russia",29.838995,58.736349,"Populated_Place","Leningrad",40114
"Segezha","Russia",34.324303,63.754776,"Populated_Place","Karelia",33354
"Vichuga","Russia",41.928748,57.219129,"Populated_Place","Ivanovo",39071
"Sharya","Russia",45.509356,58.379756,"Populated_Place","Kostroma",35532
"Buy","Russia",41.52438,58.484685,"Populated_Place","Kostroma",26486
"Bezhetsk","Russia",36.689998,57.764729,"Populated_Place","Tver'",34736
"Sokol","Russia",40.114388,59.46478,"Populated_Place","Vologda",42174
"Cherepovets","Russia",37.909975,59.140433,"Populated_Place","Vologda",311850
"Rybinsk","Russia",38.819997,58.050344,"Populated_Place","Yaroslavl'",216724
"Rostov","Russia",39.404303,57.189157,"Populated_Place","Yaroslavl'",33803
"Miass","Russia",60.094926,54.995414,"Populated_Place","Chelyabinsk",167500
"Kyshtym","Russia",60.559549,55.699997,"Populated_Place","Chelyabinsk",50911
"Varnek","Russia",60.063558,69.730148,"Populated_Place","Nenets",10
"Bugrino","Russia",49.304163,68.807879,"Populated_Place","Nenets",300
"Yamburg","Russia",74.925313,67.922117,"Populated_Place","Yamal-Nenets",48488
"Sosnogorsk","Russia",53.894323,63.59476,"Populated_Place","Komi",29343
"Sovetsk","Russia",48.958086,57.578461,"Populated_Place","Kirov",17869
"Slobodskoy","Russia",50.188037,58.718495,"Populated_Place","Kirov",48962
"Kirs","Russia",52.245173,59.313833,"Populated_Place","Kirov",11385
"Omutninsk","Russia",52.159183,58.658938,"Populated_Place","Kirov",32800
"Kotelnich","Russia",48.313733,58.304127,"Populated_Place","Kirov",28431
"Yoshkar Ola","Russia",47.874948,56.635392,"Populated_Place","Mariy-El",324406
"Kamensk Uralskiy","Russia",61.93502,56.42047,"Populated_Place","Sverdlovsk",182500
"Polevskoy","Russia",60.188047,56.443414,"Populated_Place","Sverdlovsk",65770
"Artemovskiy","Russia",61.869753,57.365192,"Populated_Place","Sverdlovsk",44689
"Nevyansk","Russia",60.214764,57.490249,"Populated_Place","Sverdlovsk",28170
"Verkhnyaya Salda","Russia",60.549782,58.050189,"Populated_Place","Sverdlovsk",48992
"Nizhnyaya Tura","Russia",59.798252,58.643641,"Populated_Place","Sverdlovsk",56084
"Karpinsk","Russia",60.009815,59.760162,"Populated_Place","Sverdlovsk",30807
"Ivdel","Russia",60.413253,60.693645,"Populated_Place","Sverdlovsk",19379
"Glazov","Russia",52.628767,58.123208,"Populated_Place","Udmurt",100676
"Peregrebnoye","Russia",65.085939,62.966995,"Populated_Place","Khanty-Mansiy",10
"Saranpaul","Russia",60.970015,64.250457,"Populated_Place","Khanty-Mansiy",2985
"Uray","Russia",64.754797,60.140139,"Populated_Place","Khanty-Mansiy",39878
"Laryak","Russia",80.25137,61.101192,"Populated_Place","Khanty-Mansiy",10
"Kogalym","Russia",74.494099,62.044622,"Populated_Place","Khanty-Mansiy",58192
"Megion","Russia",76.095345,61.060755,"Populated_Place","Khanty-Mansiy",48691
"Yessey","Russia",102.166622,68.483738,"Populated_Place","Evenk",10
"Ulkan","Russia",107.783333,55.900398,"Populated_Place","Irkutsk",10
"Kirensk","Russia",108.111943,57.785735,"Populated_Place","Irkutsk",13308
"Zheleznogorsk Ilimskiy","Russia",104.122678,56.576248,"Populated_Place","Irkutsk",28456
"Vikhorevka","Russia",101.242699,56.093099,"Populated_Place","Irkutsk",166
"Biryusinsk","Russia",97.814432,55.960653,"Populated_Place","Irkutsk",9583
"Kodinskiy","Russia",99.177657,58.698057,"Populated_Place","Krasnoyarsk",15670
"Artemovsk","Russia",93.435527,54.348736,"Populated_Place","Krasnoyarsk",4948
"Agapa","Russia",89.249994,71.450379,"Populated_Place","Taymyr",10
"Boyarka","Russia",97.500033,70.766984,"Populated_Place","Taymyr",35968
"Nordvik","Russia",111.510031,74.016502,"Populated_Place","Taymyr",0
"Chelyuskin","Russia",104.250009,77.716973,"Populated_Place","Taymyr",885
"Taksimo","Russia",114.889979,56.331534,"Populated_Place","Buryat",10359
"Nyukzha","Russia",121.613083,56.531212,"Populated_Place","Amur",10
"Nerchinsk","Russia",116.548586,52.008956,"Populated_Place","Chita",15360
"Shalaurova","Russia",143.183343,73.220374,"Populated_Place","Sakha (Yakutia)",10
"Logashkino","Russia",153.900001,70.85039,"Populated_Place","Sakha (Yakutia)",0
"Ust Kuyga","Russia",135.600033,70.017056,"Populated_Place","Sakha (Yakutia)",1517
"Verkhnevilyuysk","Russia",120.316728,63.4457,"Populated_Place","Sakha (Yakutia)",6341
"Vitim","Russia",112.557822,59.451499,"Populated_Place","Sakha (Yakutia)",3843
"Olyokminsk","Russia",120.392589,60.503192,"Populated_Place","Sakha (Yakutia)",10000
"Tunguskhaya","Russia",125.250019,64.900443,"Populated_Place","Sakha (Yakutia)",10
"Natara","Russia",123.9255,68.410616,"Populated_Place","Sakha (Yakutia)",10
"Zhilinda","Russia",114.000008,70.133689,"Populated_Place","Sakha (Yakutia)",10
"Tukchi","Russia",139.500002,57.366975,"Populated_Place","Khabarovsk",10
"Chegdomyn","Russia",133.024118,51.117796,"Populated_Place","Khabarovsk",14855
"Siglan","Russia",152.416578,59.033721,"Populated_Place","Maga Buryatdan",10
"Karamken","Russia",151.166628,60.20042,"Populated_Place","Maga Buryatdan",10
"Strelka","Russia",152.250179,61.866985,"Populated_Place","Maga Buryatdan",10
"Severo Kurilsk","Russia",156.085036,50.690483,"Populated_Place","Sakhalin",2422
"Poronaysk","Russia",143.085002,49.241554,"Populated_Place","Sakhalin",16677
"Makarov","Russia",142.800007,48.633736,"Populated_Place","Sakhalin",6663
"Dolinsk","Russia",142.800007,47.350429,"Populated_Place","Sakhalin",11989
"Kudymkar","Russia",54.633037,59.016177,"Populated_Place","Komi-Permyak",32423
"Krasnokamsk","Russia",55.744287,58.074736,"Populated_Place","Perm'",52689
"Chusovoy","Russia",57.81305,58.29343,"Populated_Place","Perm'",72113
"Gubakha","Russia",57.588722,58.869132,"Populated_Place","Perm'",31424
"Utkholok","Russia",157.233338,57.550401,"Populated_Place","Kamchatka",10
"Bol'sheretsk","Russia",156.359386,52.438981,"Populated_Place","Kamchatka",10
"Qasigiannguit","Denmark",-51.178519,68.81927,"Populated_Place","Qaasuitsup Kommunia",1341
"Shamattawa","Canada",-92.083279,55.850375,"Populated_Place","Manitoba",870
"Oxford House","Canada",-95.266599,54.950404,"Populated_Place","Manitoba",184
"Meadow Lake","Canada",-108.434736,54.130118,"Populated_Place","Saskatchewan",5882
"Hudson Bay","Canada",-102.383296,52.850429,"Populated_Place","Saskatchewan",2157
"Fort Chipewyan","Canada",-111.149996,58.717099,"Populated_Place","Alberta",3222
"Dawson Creek","Canada",-120.233266,55.766969,"Populated_Place","British Columbia",10802
"Dease Lake","Canada",-130.033288,58.450346,"Populated_Place","British Columbia",303
"Baker Lake","Canada",-96.016656,64.31699,"Populated_Place","Nunavut",1584
"Norman Wells","Canada",-126.849968,65.283727,"Populated_Place","Northwest Territories",1027
"Fort McPherson","Canada",-134.894981,67.491525,"Populated_Place","Northwest Territories",1069
"Burwash Landing","Canada",-139.000002,61.350375,"Populated_Place","Yukon",73
"Wawa","Canada",-84.783337,48.000415,"Populated_Place","Ontario",2174
"Hearst","Canada",-83.666583,49.700492,"Populated_Place","Ontario",5043
"Marathon","Canada",-86.366651,48.750395,"Populated_Place","Ontario",4627
"Sioux Lookout","Canada",-91.916648,50.262964,"Populated_Place","Ontario",4570
"Red Lake","Canada",-93.833301,51.033692,"Populated_Place","Ontario",1765
"Deer Lake","Canada",-94.066595,52.617033,"Populated_Place","Ontario",3743
"Cat Lake","Canada",-91.799989,51.717036,"Populated_Place","Ontario",277
"Cochrane","Canada",-81.016564,49.067017,"Populated_Place","Ontario",4441
"Nipigon","Canada",-88.249973,49.017046,"Populated_Place","Ontario",1204
"Chevery","Canada",-59.609783,50.481323,"Populated_Place","Québec",284
"Kangirsuk","Canada",-69.999097,60.024823,"Populated_Place","Québec",549
"Matagami","Canada",-77.633282,49.750386,"Populated_Place","Québec",1966
"Argentia","Canada",-53.989997,47.300432,"Populated_Place","Newfoundland and Labrador",1063
"St. Anthony","Canada",-55.59995,51.383749,"Populated_Place","Newfoundland and Labrador",224
"Buchans","Canada",-56.866591,48.817032,"Populated_Place","Newfoundland and Labrador",685
"Trout River","Canada",-58.116644,49.483658,"Populated_Place","Newfoundland and Labrador",452
"Churchill Falls","Canada",-63.980679,53.526409,"Populated_Place","Newfoundland and Labrador",100
"Forteau","Canada",-56.949997,51.450385,"Populated_Place","Newfoundland and Labrador",448
"Trepassey","Canada",-53.363291,46.736978,"Populated_Place","Newfoundland and Labrador",398
"Kullorsuaq","Denmark",-57.224986,74.578063,"Populated_Place",NA,450
"Tasiusaq","Denmark",-56.059814,73.369002,"Populated_Place",NA,250
"Gambell","United States",-171.731079,63.77971,"Populated_Place","Alaska",681
"Palmer","United States",-149.112692,61.599714,"Populated_Place","Alaska",13111
"Höfn","Iceland",-15.21386,64.272315,"Populated_Place","Sveitarfélagið Hornafjörður",1695
"Mo i Rana","Kingdom of Norway",14.16667,66.31661,"Populated_Place","Nordland",20409
"Skien","Kingdom of Norway",9.600024,59.19999,"Populated_Place","Telemark",73330
"Namsos","Kingdom of Norway",11.500011,64.483311,"Populated_Place","Nord-Trøndelag",9035
"Vadsø","Kingdom of Norway",29.765749,70.096597,"Populated_Place","Finnmark",5139
"Kolpashevo","Russia",82.995389,58.300407,"Populated_Place","Tomsk",27876
"Omolon","Russia",160.500012,65.249982,"Populated_Place","Chukchi Autonomous Okrug",1050
"Pevek","Russia",170.313315,69.700822,"Populated_Place","Chukchi Autonomous Okrug",4837
"Umba","Russia",34.345542,66.681394,"Populated_Place","Murmansk",6128
"Kovda","Russia",32.870231,66.690282,"Populated_Place","Murmansk",20
"Belomorsk","Russia",34.765826,64.52522,"Populated_Place","Karelia",12165
"Kem","Russia",34.56837,64.953592,"Populated_Place","Karelia",13829
"Severodvinsk","Russia",39.830013,64.570024,"Populated_Place","Arkhangel'sk",194292
"Indiga","Russia",49.016595,67.689754,"Populated_Place","Nenets",10
"Salekhard","Russia",66.60998,66.53502,"Populated_Place","Yamal-Nenets",38025
"Gyda","Russia",78.466104,70.881422,"Populated_Place","Yamal-Nenets",10
"Tazovsky","Russia",78.699992,67.466669,"Populated_Place","Yamal-Nenets",5981
"Novy Urengoy","Russia",76.633245,66.083317,"Populated_Place","Yamal-Nenets",94212
"Nadym","Russia",72.514788,65.52981,"Populated_Place","Yamal-Nenets",46339
"Noyabrsk","Russia",75.616511,63.166544,"Populated_Place","Yamal-Nenets",110572
"Ukhta","Russia",53.689994,63.559982,"Populated_Place","Komi",102187
"Serov","Russia",60.584974,59.614977,"Populated_Place","Sverdlovsk",98438
"Igrim","Russia",64.419417,63.193312,"Populated_Place","Khanty-Mansiy",9545
"Nyagan","Russia",65.381425,62.146528,"Populated_Place","Khanty-Mansiy",52137
"Nizhenvartovsk","Russia",76.580018,60.934974,"Populated_Place","Khanty-Mansiy",244937
"Numto","Russia",71.33331,63.66672,"Populated_Place","Khanty-Mansiy",10
"Tobolsk","Russia",68.264815,58.199793,"Populated_Place","Tyumen'",113800
"Noginsk","Russia",91.233335,64.483311,"Populated_Place","Evenk",229731
"Yerema","Russia",107.779406,60.380796,"Populated_Place","Irkutsk",745
"Tayshet","Russia",97.987703,55.927709,"Populated_Place","Irkutsk",52184
"Slyudyanka","Russia",103.698828,51.653836,"Populated_Place","Irkutsk",18809
"Zima","Russia",102.03309,53.93305,"Populated_Place","Irkutsk",60239
"Nizhneudinsk","Russia",99.027692,54.897669,"Populated_Place","Irkutsk",43326
"Ust Kut","Russia",105.759994,56.764971,"Populated_Place","Irkutsk",25388
"Bodaybo","Russia",114.32898,57.964975,"Populated_Place","Irkutsk",15933
"Yeniseysk","Russia",92.156535,58.451508,"Populated_Place","Krasnoyarsk",19920
"Lesosibirsk","Russia",92.483285,58.243252,"Populated_Place","Krasnoyarsk",65945
"Turukhansk","Russia",87.954983,65.838164,"Populated_Place","Krasnoyarsk",4774
"Starorybnoye","Russia",104.800001,72.766604,"Populated_Place","Taymyr",10
"Dudinka","Russia",86.225011,69.418203,"Populated_Place","Taymyr",23619
"Novyy Uoyin","Russia",111.733893,56.134983,"Populated_Place","Buryat",4184
"Bagdarin","Russia",113.600032,54.433304,"Populated_Place","Buryat",4676
"Tynda","Russia",124.707571,55.174267,"Populated_Place","Amur",37335
"Mogocha","Russia",119.766581,53.733321,"Populated_Place","Chita",12647
"Khilok","Russia",110.450044,51.350004,"Populated_Place","Chita",10627
"Kavache","Russia",136.216636,70.733291,"Populated_Place","Sakha (Yakutia)",-99
